Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Happy Shoppers (product.metafields.custom.happy_shoppers),Loved By Customers (product.metafields.custom.loved_by_customers),Product Rating (product.metafields.custom.product_rating),Ribbon Text (product.metafields.custom.ribbon_text),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Age group (product.metafields.shopify.age-group),Color (product.metafields.shopify.color-pattern),Earring design (product.metafields.shopify.earring-design),Jewelry material (product.metafields.shopify.jewelry-material),Jewelry type (product.metafields.shopify.jewelry-type),Target gender (product.metafields.shopify.target-gender),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
sparq-lab-grown-diamond-017ct-925-sterling-silver-gold-plated-round-shape-earring-14,Lab Grown Diamond 0.17CT 925 Sterling Silver Gold Plated Round Shape Earring,"<p>Diamond Type: Lab Grown Diamond, Diamond Weight: 0.17 Carat, No. of Stones: 14 ,FG Color, VS Clarity, Certification: IGI Certified, Diamond Shape: Round Metal Type: 925 Sterling Silver and Yellow Gold Plated, Metal Color : Yellow, Silver Weight : 0.56 Grams. Elegantly designed to blend timeless style with effortless comfort, this earrings adds a dazzling touch to any outfitâ€”from everyday wear to evening elegance</p>",Sparq,Apparel & Accessories > Jewelry > Earrings,Earrings,Earrings,TRUE,Title,Default Title,,,,,,,,SQTNP8520-EG-925S-0.17CT,0,shopify,3,continue,manual,7626,8474,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0678/9015/1529/files/TNP8520_YELLOW-1.jpg?v=1776753729,1,Lab Grown Diamond 0.17CT 925 Sterling Silver Gold Plated Round Shape Earring,FALSE,Lab Grown Diamond 0.17CT 925 Sterling Silver Gold Plated Round Shape Earring,"Diamond Type: Lab Grown Diamond, Diamond Weight: 0.17 Carat, No. of Stones: 14 ,FG Color, VS Clarity, Certification: IGI Certified, Diamond Shape: Round Metal T",Apparel & Accessories > Jewelry > Earrings,Female,Adult,,new,FALSE,,,,,,'5000,'2000,'4.9,,FALSE,,,,,,,,kg,,,active
sparq-lab-grown-diamond-017ct-925-sterling-silver-gold-plated-round-shape-earring-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0678/9015/1529/files/TNP8520_YELLOW-2.jpg?v=1776753729,2,Lab Grown Diamond 0.17CT 925 Sterling Silver Gold Plated Round Shape Earring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sparq-lab-grown-diamond-017ct-925-sterling-silver-gold-plated-round-shape-earring-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0678/9015/1529/files/TNP8520_YELLOW-3.jpg?v=1776753729,3,Lab Grown Diamond 0.17CT 925 Sterling Silver Gold Plated Round Shape Earring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sparq-lab-grown-diamond-009ct-925-sterling-silver-gold-plated-round-shape-earring-6,Lab Grown Diamond 0.09CT 925 Sterling Silver Gold Plated Round Shape Earring,"<p>Diamond Type: Lab Grown Diamond, Diamond Weight: 0.09 Carat, No. of Stones: 2 ,FG Color, VS Clarity, Diamond Shape: Round Metal Type: 925 Sterling Silver and Yellow Gold Plated, Metal Color : Yellow, Silver Weight : 0.29 Grams. Elegantly designed to blend timeless style with effortless comfort, this earrings adds a dazzling touch to any outfitâ€”from everyday wear to evening elegance</p>",Sparq,Apparel & Accessories > Jewelry > Earrings,Earrings,"Earrings, EveryDay, Softdays",TRUE,Title,Default Title,,,,,,,,SQTNP7950-EG-925S-0.09CT,0,shopify,0,continue,manual,4274,4749,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0678/9015/1529/files/TNP7950_YELLOW-1.jpg?v=1776753730,1,Lab Grown Diamond 0.09CT 925 Sterling Silver Gold Plated Round Shape Earring,FALSE,Lab Grown Diamond 0.09CT 925 Sterling Silver Gold Plated Round Shape Earring,"Diamond Type: Lab Grown Diamond, Diamond Weight: 0.09 Carat, No. of Stones: 2 ,FG Color, VS Clarity, Diamond Shape: Round Metal Type: 925 Sterling Silver and Ye",Apparel & Accessories > Jewelry > Earrings,Female,Adult,,new,FALSE,,,,,,,,,,FALSE,,,,,,,,kg,,,active
sparq-lab-grown-diamond-009ct-925-sterling-silver-gold-plated-round-shape-earring-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0678/9015/1529/files/TNP7950_YELLOW-2.jpg?v=1776753730,2,Lab Grown Diamond 0.09CT 925 Sterling Silver Gold Plated Round Shape Earring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sparq-lab-grown-diamond-009ct-925-sterling-silver-gold-plated-round-shape-earring-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0678/9015/1529/files/TNP7950_YELLOW-3.jpg?v=1776753730,3,Lab Grown Diamond 0.09CT 925 Sterling Silver Gold Plated Round Shape Earring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sparq-lab-grown-diamond-01ct-925-sterling-silver-gold-plated-round-shape-earring-4,Lab Grown Diamond 0.1CT 925 Sterling Silver Gold Plated Round Shape Earring,"<p>Diamond Type: Lab Grown Diamond, Diamond Weight: 0.1 Carat, No. of Stones: 2 ,FG Color, VS Clarity, Certification: IGI Certified, Diamond Shape: Round Metal Type: 925 Sterling Silver and Yellow Gold Plated, Metal Color : Yellow, Silver Weight : 0.3 Grams. Elegantly designed to blend timeless style with effortless comfort, this earrings adds a dazzling touch to any outfitâ€”from everyday wear to evening elegance</p>",Sparq,Apparel & Accessories > Jewelry > Earrings,Earrings,"Earrings, EveryDay, Softdays, Workwear",TRUE,Title,Default Title,,,,,,,,SQTNP273-EG-925S-0.1CT,0,shopify,0,continue,manual,4864,5405,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0678/9015/1529/files/TNP273_YELLOW-1.jpg?v=1776753732,1,Lab Grown Diamond 0.1CT 925 Sterling Silver Gold Plated Round Shape Earring,FALSE,Lab Grown Diamond 0.1CT 925 Sterling Silver Gold Plated Round Shape Earring,"Diamond Type: Lab Grown Diamond, Diamond Weight: 0.1 Carat, No. of Stones: 2 ,FG Color, VS Clarity, Certification: IGI Certified, Diamond Shape: Round Metal Typ",Apparel & Accessories > Jewelry > Earrings,Female,Adult,,new,FALSE,,,,,,,,,,FALSE,,,,,,,,kg,,,active
sparq-lab-grown-diamond-01ct-925-sterling-silver-gold-plated-round-shape-earring-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0678/9015/1529/files/TNP273_YELLOW-2.jpg?v=1776753731,2,Lab Grown Diamond 0.1CT 925 Sterling Silver Gold Plated Round Shape Earring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sparq-lab-grown-diamond-01ct-925-sterling-silver-gold-plated-round-shape-earring-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0678/9015/1529/files/TNP273_YELLOW-3.jpg?v=1776753731,3,Lab Grown Diamond 0.1CT 925 Sterling Silver Gold Plated Round Shape Earring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sparq-lab-grown-diamond-009ct-925-sterling-silver-gold-plated-round-shape-earring-4,Lab Grown Diamond 0.09CT 925 Sterling Silver Gold Plated Round Shape Earring,"<p>Diamond Type: Lab Grown Diamond, Diamond Weight: 0.09 Carat, No. of Stones: 2 ,FG Color, VS Clarity, Diamond Shape: Round Metal Type: 925 Sterling Silver and Yellow Gold Plated, Metal Color : Yellow, Silver Weight : 0.3 Grams. Elegantly designed to blend timeless style with effortless comfort, this earrings adds a dazzling touch to any outfitâ€”from everyday wear to evening elegance</p>",Sparq,Apparel & Accessories > Jewelry > Earrings,Earrings,"Earrings, EveryDay, Softdays",TRUE,Title,Default Title,,,,,,,,SQTNP21754-EG-925S-0.09CT,0,shopify,0,continue,manual,4288,4765,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0678/9015/1529/files/TNP21754_YELLOW-1.jpg?v=1776753732,1,Lab Grown Diamond 0.09CT 925 Sterling Silver Gold Plated Round Shape Earring,FALSE,Lab Grown Diamond 0.09CT 925 Sterling Silver Gold Plated Round Shape Earring,"Diamond Type: Lab Grown Diamond, Diamond Weight: 0.09 Carat, No. of Stones: 2 ,FG Color, VS Clarity, Diamond Shape: Round Metal Type: 925 Sterling Silver and Ye",Apparel & Accessories > Jewelry > Earrings,Female,Adult,,new,FALSE,,,,,,,,,,FALSE,,,,,,,,kg,,,active
